,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
a5a68848-1c4f-4b17-b96e-70d5b327bdaf,S2A_MSIL2A_20220301T105001_N0400_R051_T31UDP_20220301T150143.SAFE,2022-03-01 10:50:01.025,51,92.521209,DESCENDING,T31UDP,T31UDP_20220301T105001,03,060,2022
a6a511d4-8723-4378-a01d-d484955a03c4,S2B_MSIL2A_20220224T104929_N0400_R051_T31UDP_20220224T142912.SAFE,2022-02-24 10:49:29.024,51,75.136328,DESCENDING,T31UDP,T31UDP_20220224T104929,02,055,2022
54946c5e-249f-4c63-a0ce-56ff503a52f0,S2A_MSIL2A_20220219T105101_N0400_R051_T31UDP_20220219T160313.SAFE,2022-02-19 10:51:01.024,51,3.2610360000000003,DESCENDING,T31UDP,T31UDP_20220219T105101,02,050,2022
4be9d57b-f812-48a4-8a1c-81faada76889,S2B_MSIL2A_20220214T105039_N0400_R051_T31UDP_20220214T124608.SAFE,2022-02-14 10:50:39.024,51,78.03846,DESCENDING,T31UDP,T31UDP_20220214T105039,02,045,2022
dfec4d3d-6836-42e7-a655-25730cf0e456,S2A_MSIL2A_20220209T105211_N0400_R051_T31UDP_20220209T155525.SAFE,2022-02-09 10:52:11.024,51,0.00426,DESCENDING,T31UDP,T31UDP_20220209T105211,02,040,2022
35329d27-916b-4c1f-96e9-23534a3d34f4,S2B_MSIL2A_20220204T105139_N0400_R051_T31UDP_20220204T124851.SAFE,2022-02-04 10:51:39.024,51,99.751377,DESCENDING,T31UDP,T31UDP_20220204T105139,02,035,2022
b2db60fb-2a05-48db-8001-c3c214dbea90,S2A_MSIL2A_20220130T105301_N0400_R051_T31UDP_20220130T155707.SAFE,2022-01-30 10:53:01.024,51,14.068785,DESCENDING,T31UDP,T31UDP_20220130T105301,01,030,2022
31e9f3a8-cb18-4803-9d75-26be9547a5c5,S2B_MSIL2A_20220125T105229_N0400_R051_T31UDP_20220125T151458.SAFE,2022-01-25 10:52:29.024,51,100.0,DESCENDING,T31UDP,T31UDP_20220125T105229,01,025,2022
e7f9a2d5-3f53-47a9-80d7-2725955eec2c,S2A_MSIL2A_20220120T105351_N0301_R051_T31UDP_20220120T153331.SAFE,2022-01-20 10:53:51.024,51,48.554055,DESCENDING,T31UDP,T31UDP_20220120T105351,01,020,2022
96db5978-c143-459d-ba7f-2a3e21c372bb,S2B_MSIL2A_20220115T105309_N0301_R051_T31UDP_20220115T123714.SAFE,2022-01-15 10:53:09.024,51,21.048629,DESCENDING,T31UDP,T31UDP_20220115T105309,01,015,2022
becfa3f6-1223-4a26-8759-ca6cebc12fad,S2A_MSIL2A_20220110T105421_N0301_R051_T31UDP_20220110T134921.SAFE,2022-01-10 10:54:21.024,51,90.014798,DESCENDING,T31UDP,T31UDP_20220110T105421,01,010,2022
3170f115-54b4-44d4-854f-df45684521de,S2B_MSIL2A_20220105T105339_N0301_R051_T31UDP_20220105T134509.SAFE,2022-01-05 10:53:39.024,51,4.291575,DESCENDING,T31UDP,T31UDP_20220105T105339,01,005,2022
f386f890-139d-40b7-b799-a4bb1379a929,S2A_MSIL2A_20211231T105441_N0301_R051_T31UDP_20211231T135006.SAFE,2021-12-31 10:54:41.024,51,0.625302,DESCENDING,T31UDP,T31UDP_20211231T105441,12,365,2021
b1d49f8f-f301-45ab-905a-56c63f718695,S2B_MSIL2A_20211226T105349_N0301_R051_T31UDP_20211226T125057.SAFE,2021-12-26 10:53:49.024,51,93.392911,DESCENDING,T31UDP,T31UDP_20211226T105349,12,360,2021
c0f536c0-3e18-4192-925d-215a32ac7fd7,S2A_MSIL2A_20211221T105451_N0301_R051_T31UDP_20211221T135048.SAFE,2021-12-21 10:54:51.024,51,3.9996459999999994,DESCENDING,T31UDP,T31UDP_20211221T105451,12,355,2021
87a976cd-de94-46cb-bcc1-b4cde7a6df55,S2B_MSIL2A_20211216T105349_N0301_R051_T31UDP_20211216T135244.SAFE,2021-12-16 10:53:49.024,51,99.009991,DESCENDING,T31UDP,T31UDP_20211216T105349,12,350,2021
84320a57-d0fe-46df-b4c1-323a517ef18b,S2A_MSIL2A_20211211T105441_N0301_R051_T31UDP_20211211T135126.SAFE,2021-12-11 10:54:41.024,51,60.401181,DESCENDING,T31UDP,T31UDP_20211211T105441,12,345,2021
381e75de-a51b-42f2-a325-7e4f162b0c33,S2B_MSIL2A_20211206T105329_N0301_R051_T31UDP_20211206T134956.SAFE,2021-12-06 10:53:29.024,51,72.417205,DESCENDING,T31UDP,T31UDP_20211206T105329,12,340,2021
25fa164d-4177-43db-a308-a428e8027db1,S2A_MSIL2A_20211201T105421_N0301_R051_T31UDP_20211201T153252.SAFE,2021-12-01 10:54:21.024,51,60.442363,DESCENDING,T31UDP,T31UDP_20211201T105421,12,335,2021
2007fe33-25af-4006-9e54-6ef80d8e45a6,S2B_MSIL2A_20211126T105309_N0301_R051_T31UDP_20211126T125946.SAFE,2021-11-26 10:53:09.024,51,97.13873300000002,DESCENDING,T31UDP,T31UDP_20211126T105309,11,330,2021
d9754bd9-1f8e-47de-bcf0-0cb3cda516a2,S2A_MSIL2A_20211121T105341_N0301_R051_T31UDP_20211121T135206.SAFE,2021-11-21 10:53:41.024,51,98.464525,DESCENDING,T31UDP,T31UDP_20211121T105341,11,325,2021
44b50380-9114-43e8-abbe-47f6d191b43d,S2B_MSIL2A_20211116T105229_N0301_R051_T31UDP_20211116T123127.SAFE,2021-11-16 10:52:29.024,51,99.931352,DESCENDING,T31UDP,T31UDP_20211116T105229,11,320,2021
ca59fab1-d860-4556-b268-5c181e103ef7,S2A_MSIL2A_20211111T105301_N0301_R051_T31UDP_20211111T135052.SAFE,2021-11-11 10:53:01.024,51,58.222736,DESCENDING,T31UDP,T31UDP_20211111T105301,11,315,2021
40a611c8-374a-4299-b924-041f0af83e81,S2B_MSIL2A_20211106T105139_N0301_R051_T31UDP_20211106T133813.SAFE,2021-11-06 10:51:39.024,51,9.961667,DESCENDING,T31UDP,T31UDP_20211106T105139,11,310,2021
6d930f1a-d11c-493e-96cb-50cbb86fbd63,S2A_MSIL2A_20211101T105211_N0301_R051_T31UDP_20211101T140418.SAFE,2021-11-01 10:52:11.024,51,17.705989,DESCENDING,T31UDP,T31UDP_20211101T105211,11,305,2021
ee867867-d1d6-493c-931c-fcfa60122f43,S2B_MSIL2A_20211027T105049_N0301_R051_T31UDP_20211027T131047.SAFE,2021-10-27 10:50:49.024,51,6.358069,DESCENDING,T31UDP,T31UDP_20211027T105049,10,300,2021
d31d032b-31d0-4e31-944e-731f3de9f0b7,S2A_MSIL2A_20211022T105111_N0301_R051_T31UDP_20211022T140322.SAFE,2021-10-22 10:51:11.025,51,0.720944,DESCENDING,T31UDP,T31UDP_20211022T105111,10,295,2021
9bdd73a2-1336-47f1-85dc-8cc5657c16a6,S2B_MSIL2A_20211017T104939_N0301_R051_T31UDP_20211017T122320.SAFE,2021-10-17 10:49:39.024,51,92.961994,DESCENDING,T31UDP,T31UDP_20211017T104939,10,290,2021
6b4a2e0b-e1d7-4239-a89d-30bacefae2d6,S2A_MSIL2A_20211012T105011_N0301_R051_T31UDP_20211012T140548.SAFE,2021-10-12 10:50:11.024,51,44.818735999999994,DESCENDING,T31UDP,T31UDP_20211012T105011,10,285,2021
0e494e6a-c27b-43eb-87c7-573b32f9946f,S2B_MSIL2A_20211007T104829_N0301_R051_T31UDP_20211007T141822.SAFE,2021-10-07 10:48:29.024,51,84.638298,DESCENDING,T31UDP,T31UDP_20211007T104829,10,280,2021
fb810462-c050-4326-9e60-baeb8ec1cf37,S2A_MSIL2A_20211002T104901_N0301_R051_T31UDP_20211002T140006.SAFE,2021-10-02 10:49:01.024,51,99.945609,DESCENDING,T31UDP,T31UDP_20211002T104901,10,275,2021
033a75ca-fd95-479a-9f04-609f62af4fc6,S2B_MSIL2A_20210927T104719_N0301_R051_T31UDP_20210927T122844.SAFE,2021-09-27 10:47:19.024,51,69.809836,DESCENDING,T31UDP,T31UDP_20210927T104719,09,270,2021
eba8ea64-a170-4cba-a898-26414e4f46ca,S2A_MSIL2A_20210922T105031_N0301_R051_T31UDP_20210922T140135.SAFE,2021-09-22 10:50:31.025,51,2.690746,DESCENDING,T31UDP,T31UDP_20210922T105031,09,265,2021
abd9f26c-d150-48f7-bfa5-de056329c697,S2B_MSIL2A_20210917T104639_N0301_R051_T31UDP_20210917T122432.SAFE,2021-09-17 10:46:39.024,51,6.217403,DESCENDING,T31UDP,T31UDP_20210917T104639,09,260,2021
6976f66f-ae84-44ed-9e38-6de80063fb19,S2A_MSIL2A_20210912T105031_N0301_R051_T31UDP_20210912T140421.SAFE,2021-09-12 10:50:31.024,51,73.091702,DESCENDING,T31UDP,T31UDP_20210912T105031,09,255,2021
cb2ed1db-2f0a-451f-a923-db0e0bdb9b74,S2B_MSIL2A_20210907T104619_N0301_R051_T31UDP_20210907T144922.SAFE,2021-09-07 10:46:19.025,51,1.327173,DESCENDING,T31UDP,T31UDP_20210907T104619,09,250,2021
0f73a90c-2e55-423d-bd0c-cb40def61f9b,S2A_MSIL2A_20210902T105031_N0301_R051_T31UDP_20210902T140859.SAFE,2021-09-02 10:50:31.024,51,0.080033,DESCENDING,T31UDP,T31UDP_20210902T105031,09,245,2021
8f8339f9-00f6-4467-b2b9-90a88ef00ed8,S2B_MSIL2A_20210828T104619_N0301_R051_T31UDP_20210828T124628.SAFE,2021-08-28 10:46:19.024,51,72.108735,ASCENDING,T31UDP,T31UDP_20210828T104619,08,240,2021
afec21c5-cfac-4436-b12b-b85f4dd7f0e5,S2A_MSIL2A_20210823T105031_N0301_R051_T31UDP_20210823T154629.SAFE,2021-08-23 10:50:31.024,51,90.37542200000001,DESCENDING,T31UDP,T31UDP_20210823T105031,08,235,2021
